"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","03-Jul-2017","        935.55","        941.10","        955.00","        934.60","        953.60","        951.90","        945.66","    2544462","          2406192366.05","      62128","    1419172","         55.77"
"INFY","EQ","04-Jul-2017","        951.90","        953.85","        970.00","        949.40","        961.00","        962.15","        962.03","    2583863","          2485762341.40","      54690","    1493619","         57.81"
"INFY","EQ","05-Jul-2017","        962.15","        959.00","        959.00","        945.40","        952.00","        950.90","        950.46","    2113114","          2008422006.70","      58308","    1201934","         56.88"
"INFY","EQ","06-Jul-2017","        950.90","        945.00","        957.00","        944.20","        946.80","        947.00","        950.12","    1914860","          1819345350.90","      56849","    1143132","         59.70"
"INFY","EQ","07-Jul-2017","        947.00","        943.85","        945.45","        933.05","        935.10","        935.40","        938.78","    2888443","          2711621745.50","      98641","    2118035","         73.33"
"INFY","EQ","10-Jul-2017","        935.40","        945.00","       1028.90","        937.30","        953.30","        957.05","        953.49","     847546","           808125207.50","      17862","     426402","         50.31"
"INFY","EQ","11-Jul-2017","        957.05","        956.65","        989.50","        956.65","        978.60","        975.35","        978.98","    5769854","          5648578195.35","     113632","    3220051","         55.81"
"INFY","EQ","12-Jul-2017","        975.35","        974.95","        981.50","        968.75","        973.00","        972.35","        974.41","    3137988","          3057672503.55","      77201","    2147850","         68.45"
"INFY","EQ","13-Jul-2017","        972.35","        977.25","        983.45","        964.10","        980.00","        977.05","        977.00","    2585196","          2525724825.00","      74502","    1139208","         44.07"
"INFY","EQ","14-Jul-2017","        977.05","        999.45","       1006.85","        966.05","        970.00","        972.05","        985.55","   11239090","         11076697425.95","     246571","    4902877","         43.62"
"INFY","EQ","17-Jul-2017","        972.05","        975.00","        992.00","        974.00","        985.55","        984.05","        984.54","    3849125","          3789602386.00","      85783","    2209178","         57.39"
"INFY","EQ","18-Jul-2017","        984.05","        986.05","       1004.80","        981.10","        983.65","        985.60","        995.69","    4130090","          4112296075.35","      93509","    2299835","         55.68"
"INFY","EQ","19-Jul-2017","        985.60","        981.45","        988.65","        969.10","        979.60","        979.85","        976.12","    2945139","          2874801639.95","     105595","    1545101","         52.46"
"INFY","EQ","20-Jul-2017","        979.85","        979.30","        979.85","        966.95","        969.00","        969.45","        970.69","    3404870","          3305085666.30","     101526","    2486394","         73.02"
"INFY","EQ","21-Jul-2017","        969.45","        973.00","        982.55","        971.40","        979.90","        980.10","        978.45","    2990377","          2925921839.85","      68179","    1923535","         64.32"
"INFY","EQ","24-Jul-2017","        980.10","        983.50","        994.00","        982.60","        990.50","        990.55","        989.58","    3064588","          3032646958.40","     110820","    2177458","         71.05"
"INFY","EQ","25-Jul-2017","        990.55","        990.00","        999.00","        986.20","        994.00","        993.85","        992.82","    3572807","          3547155443.75","     104586","    2636530","         73.79"
"INFY","EQ","26-Jul-2017","        993.85","        998.10","        999.00","        990.40","        994.00","        994.05","        993.84","    3435012","          3413852845.20","     104013","    2857462","         83.19"
"INFY","EQ","27-Jul-2017","        994.05","        996.00","       1004.00","        966.80","        969.85","        971.05","        981.64","    6338426","          6222055606.70","     100543","    4878648","         76.97"
"INFY","EQ","28-Jul-2017","        971.05","        976.00","       1003.00","        962.30","        995.70","        997.35","        987.20","    5549214","          5478201640.40","      92083","    3196985","         57.61"
"INFY","EQ","31-Jul-2017","        997.35","        991.90","       1021.70","        986.75","       1015.00","       1011.20","       1007.77","    9579124","          9653593591.35","     194493","    6840218","         71.41"
"INFY","EQ","01-Aug-2017","       1011.20","       1011.00","       1017.00","        998.35","       1004.50","       1005.55","       1005.38","    3844699","          3865373992.85","      74672","    2634496","         68.52"
"INFY","EQ","02-Aug-2017","       1005.55","       1006.00","       1012.75","        987.20","        989.10","        993.35","        999.06","    2128792","          2126780544.95","      64338","    1154252","         54.22"
"INFY","EQ","03-Aug-2017","        993.35","        991.00","        998.75","        980.25","        981.80","        984.00","        988.23","    2320174","          2292869696.85","      64881","    1484098","         63.96"
"INFY","EQ","04-Aug-2017","        984.00","        988.00","        989.00","        976.05","        983.50","        983.75","        981.53","    2674509","          2625108704.90","      54851","    1951568","         72.97"
"INFY","EQ","07-Aug-2017","        983.75","        983.50","        983.75","        965.70","        966.50","        968.25","        972.33","    3036872","          2952834608.05","      75997","    2439913","         80.34"
"INFY","EQ","08-Aug-2017","        968.25","        968.50","        970.25","        955.05","        963.50","        963.85","        963.45","    3002324","          2892578680.85","      83371","    2062272","         68.69"
"INFY","EQ","09-Aug-2017","        963.85","        967.65","        973.90","        964.55","        970.70","        969.35","        969.56","    1961205","          1901504150.20","      74542","    1112721","         56.74"
"INFY","EQ","10-Aug-2017","        969.35","        969.90","        987.50","        969.35","        984.95","        981.25","        982.00","    4570342","          4488072666.75","     118468","    3294424","         72.08"
"INFY","EQ","11-Aug-2017","        981.25","        976.00","        997.00","        969.60","        986.50","        987.70","        986.81","    3272078","          3228922463.05","      85957","    2064364","         63.09"
"INFY","EQ","14-Aug-2017","        987.70","        988.00","        989.20","        977.15","        982.00","        981.45","        981.62","    1908235","          1873162935.80","      83142","    1423038","         74.57"
"INFY","EQ","16-Aug-2017","        981.45","        982.00","        986.10","        969.00","        979.35","        975.20","        975.79","    3089040","          3014254126.05","      73688","    2010754","         65.09"
"INFY","EQ","17-Aug-2017","        975.20","       1005.00","       1029.25","        998.05","       1021.05","       1020.85","       1012.61","   12892130","         13054759560.60","     219380","    8130105","         63.06"
"INFY","EQ","18-Aug-2017","       1020.85","       1017.90","       1017.90","        884.20","        923.15","        923.25","        932.15","   82202480","         76625024333.45","    1192900","   42028494","         51.13"
"INFY","EQ","21-Aug-2017","        923.25","        924.00","        924.00","        870.00","        870.15","        873.40","        888.68","   45203588","         40171479151.00","     844350","   20137307","         44.55"
"INFY","EQ","22-Aug-2017","        873.40","        895.20","        897.05","        860.00","        876.00","        875.40","        876.30","   24621299","         21575553323.60","     436450","   10004177","         40.63"
"INFY","EQ","23-Aug-2017","        875.40","        880.00","        903.70","        873.90","        893.40","        892.80","        890.37","   30642095","         27282913878.80","     431562","   15763891","         51.45"
"INFY","EQ","24-Aug-2017","        892.80","        910.00","        918.25","        902.35","        911.50","        912.15","        910.72","   21190262","         19298432842.10","     379260","   13139149","         62.01"
"INFY","EQ","28-Aug-2017","        912.15","        943.95","        953.95","        938.00","        940.30","        941.00","        944.82","   20356054","         19232850863.35","     339901","   11887057","         58.40"
"INFY","EQ","29-Aug-2017","        941.00","        941.45","        942.00","        925.55","        926.75","        927.45","        933.49","    6684696","          6240109664.25","     148591","    3807364","         56.96"
"INFY","EQ","30-Aug-2017","        927.45","        937.20","        939.00","        924.10","        926.70","        926.65","        930.56","    8074832","          7514125821.50","     147639","    4723273","         58.49"
"INFY","EQ","31-Aug-2017","        926.65","        928.80","        928.95","        912.90","        915.00","        914.95","        916.78","    7511226","          6886139481.45","     174045","    4983033","         66.34"
