"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDPETRO","EQ","03-Jul-2017","        510.35","        512.10","        525.00","        511.00","        516.40","        516.95","        517.99","    1720869","           891398984.50","      41839","     792093","         46.03"
"HINDPETRO","EQ","04-Jul-2017","        516.95","        518.00","        521.70","        511.00","        512.00","        511.90","        515.38","    1471637","           758450000.50","      35401","     722883","         49.12"
"HINDPETRO","EQ","05-Jul-2017","        511.90","        513.25","        518.90","        508.00","        517.40","        516.50","        515.04","    1199313","           617689574.55","      28709","     555071","         46.28"
"HINDPETRO","EQ","06-Jul-2017","        516.50","        517.40","        521.00","        506.00","        506.85","        509.10","        514.33","    3247804","          1670428924.55","      41603","    1873967","         57.70"
"HINDPETRO","EQ","07-Jul-2017","        509.10","        505.10","        511.70","        499.40","        501.30","        501.45","        503.51","    3331878","          1677621650.80","      50898","    1857198","         55.74"
"HINDPETRO","EQ","10-Jul-2017","        501.45","        513.95","        529.80","        502.80","        512.40","        512.60","        511.34","    1003509","           513137951.15","       7627","     738173","         73.56"
"HINDPETRO","EQ","11-Jul-2017","        512.60","        340.05","        345.00","        336.00","        341.00","        340.40","        339.81","    3732617","          1268365420.50","      86942","    2199209","         58.92"
"HINDPETRO","EQ","12-Jul-2017","        340.40","        343.00","        360.45","        338.90","        359.60","        359.25","        352.93","    7041684","          2485208066.00","      79167","    2893468","         41.09"
"HINDPETRO","EQ","13-Jul-2017","        359.25","        366.40","        382.00","        361.25","        375.50","        375.10","        373.07","   12184816","          4545790451.65","     134922","    6515235","         53.47"
"HINDPETRO","EQ","14-Jul-2017","        375.10","        375.75","        392.00","        368.75","        391.90","        387.40","        381.52","    5764486","          2199259809.05","      75727","    1857701","         32.23"
"HINDPETRO","EQ","17-Jul-2017","        387.40","        383.40","        388.95","        371.25","        376.00","        377.85","        377.37","    4494685","          1696169004.60","      52414","    1343862","         29.90"
"HINDPETRO","EQ","18-Jul-2017","        377.85","        375.90","        383.75","        365.65","        369.50","        368.20","        371.52","    4430723","          1646086897.35","      83963","    1977085","         44.62"
"HINDPETRO","EQ","19-Jul-2017","        368.20","        373.45","        389.50","        370.00","        382.00","        383.70","        379.22","    6028573","          2286164108.85","      67632","    2100835","         34.85"
"HINDPETRO","EQ","20-Jul-2017","        383.70","        369.00","        376.45","        363.80","        368.10","        367.85","        370.09","    7015521","          2596346013.60","      72256","    2187833","         31.19"
"HINDPETRO","EQ","21-Jul-2017","        367.85","        368.50","        371.45","        357.00","        369.80","        368.00","        365.51","    4273770","          1562114359.40","      56295","    1611692","         37.71"
"HINDPETRO","EQ","24-Jul-2017","        368.00","        371.00","        378.50","        367.30","        368.35","        369.30","        372.39","    4492425","          1672912578.65","      57829","    2103815","         46.83"
"HINDPETRO","EQ","25-Jul-2017","        369.30","        369.30","        375.00","        365.70","        373.00","        374.00","        371.37","    3123054","          1159810517.20","      63543","    1473458","         47.18"
"HINDPETRO","EQ","26-Jul-2017","        374.00","        374.90","        375.45","        368.90","        370.70","        370.55","        371.78","    2662265","           989772635.00","      34180","    1216912","         45.71"
"HINDPETRO","EQ","27-Jul-2017","        370.55","        370.00","        374.80","        363.60","        368.00","        367.20","        367.88","    3809512","          1401429553.85","      48988","    1881863","         49.40"
"HINDPETRO","EQ","28-Jul-2017","        367.20","        368.00","        375.30","        367.20","        375.00","        374.45","        372.29","    3880111","          1444525879.25","      69107","    2733487","         70.45"
"HINDPETRO","EQ","31-Jul-2017","        374.45","        376.00","        384.25","        371.45","        382.90","        383.20","        379.92","    4094352","          1555516039.15","      76336","    2587132","         63.19"
"HINDPETRO","EQ","01-Aug-2017","        383.20","        383.20","        391.85","        381.40","        386.45","        386.75","        387.79","    4466496","          1732047782.30","      51897","    2607597","         58.38"
"HINDPETRO","EQ","02-Aug-2017","        386.75","        387.00","        388.00","        381.05","        385.00","        385.00","        383.78","    2347427","           900894010.80","      23390","    1563070","         66.59"
"HINDPETRO","EQ","03-Aug-2017","        385.00","        387.90","        407.50","        385.55","        396.50","        396.80","        398.14","    9960727","          3965716225.55","     106117","    5686730","         57.09"
"HINDPETRO","EQ","04-Aug-2017","        396.80","        397.10","        442.00","        392.80","        436.50","        432.60","        414.60","   14606267","          6055775325.40","     132341","    4338512","         29.70"
"HINDPETRO","EQ","07-Aug-2017","        432.60","        428.00","        462.40","        425.05","        457.35","        458.10","        447.78","   11129918","          4983758994.80","     124204","    2766888","         24.86"
"HINDPETRO","EQ","08-Aug-2017","        458.10","        452.40","        455.50","        432.15","        437.00","        436.15","        441.54","    7683762","          3392659819.40","     104482","    3124021","         40.66"
"HINDPETRO","EQ","09-Aug-2017","        436.15","        427.40","        447.20","        419.85","        429.00","        429.65","        431.95","    7655580","          3306841071.35","      88967","    2561992","         33.47"
"HINDPETRO","EQ","10-Aug-2017","        429.65","        423.55","        431.40","        400.00","        419.90","        412.45","        417.76","    6413893","          2679493784.85","      87890","    2091164","         32.60"
"HINDPETRO","EQ","11-Aug-2017","        412.45","        409.00","        437.70","        398.10","        427.80","        429.05","        422.15","    9817059","          4144229459.80","     104043","    2981397","         30.37"
"HINDPETRO","EQ","14-Aug-2017","        429.05","        434.50","        442.65","        424.60","        438.05","        438.60","        435.66","    4298386","          1872652021.75","      66134","    1612588","         37.52"
"HINDPETRO","EQ","16-Aug-2017","        438.60","        436.20","        444.00","        431.10","        436.00","        436.40","        437.98","    3339664","          1462706746.40","      53716","    1342731","         40.21"
"HINDPETRO","EQ","17-Aug-2017","        436.40","        438.00","        443.65","        432.05","        434.50","        433.95","        437.28","    3787274","          1656117061.95","      62162","    1417274","         37.42"
