"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BSE","EQ","03-Feb-2017","        806.00","       1085.00","       1200.00","       1065.10","       1070.55","       1069.20","       1115.50","   15771762","         17593433167.60","     420239","    6122689","         38.82"
"BSE","EQ","06-Feb-2017","       1069.20","       1081.00","       1087.80","       1023.10","       1027.00","       1029.20","       1052.50","    2199600","          2315075677.60","      74289","     592739","         26.95"
"BSE","EQ","07-Feb-2017","       1029.20","       1030.00","       1035.95","       1001.30","       1006.30","       1006.80","       1015.48","    1294146","          1314174894.05","      47830","     395031","         30.52"
"BSE","EQ","08-Feb-2017","       1006.80","       1013.00","       1034.85","        998.70","       1019.00","       1022.60","       1022.05","    1187116","          1213292641.85","      41573","     223220","         18.80"
"BSE","EQ","09-Feb-2017","       1022.60","       1025.00","       1028.70","       1007.15","       1008.50","       1010.05","       1015.45","     466684","           473893839.55","      19082","     172661","         37.00"
"BSE","EQ","10-Feb-2017","       1010.05","       1014.80","       1024.00","       1003.00","       1005.50","       1005.00","       1011.99","     420869","           425916969.40","      17576","     143600","         34.12"
"BSE","EQ","13-Feb-2017","       1005.00","       1009.00","       1010.45","        998.50","       1000.00","       1001.80","       1001.72","     503861","           504728537.05","      20503","     204446","         40.58"
"BSE","EQ","14-Feb-2017","       1001.80","       1004.90","       1019.00","        998.00","        998.00","       1004.00","       1006.74","     512893","           516348476.75","      21681","     130153","         25.38"
"BSE","EQ","15-Feb-2017","       1004.00","       1002.00","       1009.90","        977.70","        981.25","        981.70","        994.92","     444465","           442206836.55","      21024","     214544","         48.27"
"BSE","EQ","16-Feb-2017","        981.70","        983.00","        987.20","        961.00","        962.55","        963.90","        968.09","     390176","           377724205.45","      20836","     179389","         45.98"
"BSE","EQ","17-Feb-2017","        963.90","        971.00","        978.00","        964.00","        965.90","        967.20","        969.54","     253565","           245841695.95","      14544","      92217","         36.37"
"BSE","EQ","20-Feb-2017","        967.20","        967.20","        976.40","        963.10","        973.00","        971.15","        971.03","     199609","           193826641.55","      10025","      74898","         37.52"
"BSE","EQ","21-Feb-2017","        971.15","        975.00","        994.90","        971.70","        983.35","        984.25","        986.11","     333947","           329308479.55","      15773","      88685","         26.56"
"BSE","EQ","22-Feb-2017","        984.25","        982.00","        986.65","        971.30","        973.00","        974.25","        978.54","     136074","           133153376.30","       8691","      53181","         39.08"
"BSE","EQ","23-Feb-2017","        974.25","        974.80","        976.75","        965.00","        965.00","        965.90","        969.25","     120075","           116382594.50","       6854","      57869","         48.19"
"BSE","EQ","27-Feb-2017","        965.90","        962.00","        968.75","        952.40","        953.80","        954.10","        958.98","     206918","           198430564.00","       9713","     107404","         51.91"
"BSE","EQ","28-Feb-2017","        954.10","        955.05","        964.90","        942.00","        943.50","        946.95","        954.16","     211552","           201854286.90","      11920","     100714","         47.61"
"BSE","EQ","01-Mar-2017","        946.95","        945.00","        954.00","        932.00","        933.20","        934.10","        943.27","     242861","           229083188.85","      13970","     108990","         44.88"
"BSE","EQ","02-Mar-2017","        934.10","        938.60","        942.50","        915.00","        915.00","        917.20","        928.34","     299819","           278332797.00","      17409","     136218","         45.43"
"BSE","EQ","03-Mar-2017","        917.20","        915.00","        916.90","        886.50","        886.50","        890.70","        895.32","     838830","           751022333.95","      41887","     518810","         61.85"
"BSE","EQ","06-Mar-2017","        890.70","        890.00","        954.75","        890.00","        951.10","        947.20","        930.09","    1240425","          1153712442.45","      50753","     391627","         31.57"
"BSE","EQ","07-Mar-2017","        947.20","        954.00","        964.80","        936.10","        937.10","        938.70","        948.51","     470176","           445966559.10","      21433","     146681","         31.20"
"BSE","EQ","08-Mar-2017","        938.70","        939.90","        943.50","        920.95","        925.90","        923.85","        930.21","     193077","           179601560.65","      10514","      64383","         33.35"
"BSE","EQ","09-Mar-2017","        923.85","        923.85","        961.00","        917.35","        944.05","        944.95","        948.44","     738561","           700478757.40","      30660","     284557","         38.53"
"BSE","EQ","10-Mar-2017","        944.95","        950.00","        954.90","        932.60","        936.50","        936.60","        941.06","     193951","           182520137.80","      10791","      63603","         32.79"
"BSE","EQ","14-Mar-2017","        936.60","        955.00","        960.00","        940.00","        946.00","        944.95","        946.94","     227271","           215212096.40","      10775","      97977","         43.11"
"BSE","EQ","15-Mar-2017","        944.95","        946.35","        961.65","        940.10","        944.90","        945.35","        948.21","     290746","           275689037.60","      15861","     138573","         47.66"
"BSE","EQ","16-Mar-2017","        945.35","        949.95","        952.30","        943.00","        944.40","        945.25","        946.22","     127467","           120611754.95","      10780","      64062","         50.26"
"BSE","EQ","17-Mar-2017","        945.25","        946.20","        958.60","        941.40","        942.00","        943.90","        947.73","     314643","           298198146.90","       8885","     179689","         57.11"
"BSE","EQ","20-Mar-2017","        943.90","        950.00","        950.00","        935.00","        938.55","        938.35","        939.06","     116056","           108983780.90","       7186","      65869","         56.76"
"BSE","EQ","21-Mar-2017","        938.35","        941.40","        947.00","        936.00","        944.00","        938.80","        942.06","     211103","           198871715.55","      14606","     124875","         59.15"
"BSE","EQ","22-Mar-2017","        938.80","        940.00","        940.00","        931.00","        934.00","        934.40","        934.85","     126858","           118592830.10","       5146","      80441","         63.41"
"BSE","EQ","23-Mar-2017","        934.40","        938.20","        942.20","        932.75","        935.50","        937.60","        936.44","     130766","           122455117.60","       5420","      89481","         68.43"
"BSE","EQ","24-Mar-2017","        937.60","        939.60","        953.30","        936.00","        945.05","        945.05","        944.40","     303936","           287038342.40","       7921","     244554","         80.46"
"BSE","EQ","27-Mar-2017","        945.05","        945.65","        948.00","        934.15","        936.15","        935.75","        937.14","     131550","           123281132.30","       3973","      98530","         74.90"
"BSE","EQ","28-Mar-2017","        935.75","        938.90","        943.95","        936.20","        936.25","        939.25","        939.65","      92227","            86660693.90","       9370","      61944","         67.16"
"BSE","EQ","29-Mar-2017","        939.25","        939.65","        972.00","        937.00","        951.90","        951.35","        955.93","     499299","           477293526.90","      19012","     211076","         42.27"
"BSE","EQ","30-Mar-2017","        951.35","        958.05","        971.05","        955.05","        966.00","        966.70","        964.75","     291000","           280742919.75","      13567","     147477","         50.68"
"BSE","EQ","31-Mar-2017","        966.70","        967.80","        981.00","        965.05","        978.00","        977.65","        974.44","     276768","           269692969.55","       8617","     168727","         60.96"
