"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LUPIN","EQ","03-Jul-2017","       1059.85","       1064.00","       1065.00","       1051.40","       1053.00","       1054.50","       1058.72","    1001764","          1060585978.70","      25401","     666911","         66.57"
"LUPIN","EQ","04-Jul-2017","       1054.50","       1059.80","       1061.00","       1040.00","       1042.10","       1043.90","       1050.30","    1052402","          1105339605.60","      27886","     657204","         62.45"
"LUPIN","EQ","05-Jul-2017","       1043.90","       1040.50","       1096.00","       1036.20","       1086.00","       1084.00","       1070.02","    5148183","          5508682760.35","     101749","    2790844","         54.21"
"LUPIN","EQ","06-Jul-2017","       1084.00","       1099.00","       1108.80","       1076.55","       1081.90","       1081.30","       1093.51","    2336293","          2554763606.35","      67648","     851837","         36.46"
"LUPIN","EQ","07-Jul-2017","       1081.30","       1082.90","       1137.00","       1082.90","       1120.00","       1117.30","       1122.65","    4984299","          5595644150.70","     104898","    1989070","         39.91"
"LUPIN","EQ","10-Jul-2017","       1117.30","       1150.80","       1229.00","       1130.00","       1150.00","       1148.85","       1149.39","     518323","           595756960.20","      11790","     225964","         43.60"
"LUPIN","EQ","11-Jul-2017","       1148.85","       1157.00","       1166.75","       1136.05","       1140.00","       1139.95","       1151.91","    1914881","          2205771866.00","      49578","    1053605","         55.02"
"LUPIN","EQ","12-Jul-2017","       1139.95","       1145.00","       1152.80","       1136.75","       1142.00","       1140.60","       1141.69","     768916","           877865371.10","      38449","     377205","         49.06"
"LUPIN","EQ","13-Jul-2017","       1140.60","       1152.00","       1152.00","       1138.50","       1139.00","       1142.05","       1143.39","    1249863","          1429085759.35","      41928","     933108","         74.66"
"LUPIN","EQ","14-Jul-2017","       1142.05","       1143.00","       1156.10","       1135.30","       1140.00","       1139.15","       1143.21","     855906","           978480358.00","      24902","     498098","         58.20"
"LUPIN","EQ","17-Jul-2017","       1139.15","       1145.00","       1150.45","       1137.00","       1147.30","       1146.75","       1144.24","     523872","           599435225.95","      18092","     311290","         59.42"
"LUPIN","EQ","18-Jul-2017","       1146.75","       1148.00","       1164.75","       1147.30","       1159.40","       1156.35","       1157.44","    1073451","          1242452395.70","      33013","     748653","         69.74"
"LUPIN","EQ","19-Jul-2017","       1156.35","       1168.90","       1177.45","       1164.10","       1172.80","       1172.30","       1171.17","     794526","           930521293.70","      26614","     388797","         48.93"
"LUPIN","EQ","20-Jul-2017","       1172.30","       1172.00","       1175.95","       1162.55","       1167.00","       1166.05","       1168.01","     406805","           475151373.90","      13003","     189077","         46.48"
"LUPIN","EQ","21-Jul-2017","       1166.05","       1157.15","       1157.15","       1131.25","       1146.00","       1142.90","       1140.05","    1439189","          1640740504.55","      61536","     863960","         60.03"
"LUPIN","EQ","24-Jul-2017","       1142.90","       1165.75","       1175.20","       1138.00","       1139.35","       1141.50","       1151.18","    1549104","          1783302702.30","      47774","     682510","         44.06"
"LUPIN","EQ","25-Jul-2017","       1141.50","       1140.00","       1141.95","       1114.15","       1121.45","       1120.45","       1124.50","    1757281","          1976067495.85","      63915","    1150923","         65.49"
"LUPIN","EQ","26-Jul-2017","       1120.45","       1121.60","       1128.65","       1115.50","       1125.00","       1123.60","       1123.45","    1114455","          1252034371.70","      35099","     726150","         65.16"
"LUPIN","EQ","27-Jul-2017","       1123.60","       1132.20","       1132.25","       1105.00","       1113.10","       1110.05","       1115.73","    1625717","          1813855123.30","      42122","    1077945","         66.31"
"LUPIN","EQ","28-Jul-2017","       1110.05","       1110.40","       1111.05","       1055.35","       1066.90","       1063.90","       1070.69","    2321289","          2485391941.85","      89010","    1168974","         50.36"
"LUPIN","EQ","31-Jul-2017","       1063.90","       1089.90","       1089.90","       1030.00","       1031.00","       1032.00","       1043.87","    4692583","          4898428792.75","     143965","    2613447","         55.69"
"LUPIN","EQ","01-Aug-2017","       1032.00","       1038.00","       1038.80","       1016.10","       1018.95","       1017.90","       1026.38","    2668911","          2739317711.60","     101586","    1437824","         53.87"
"LUPIN","EQ","02-Aug-2017","       1017.90","       1026.10","       1055.00","       1020.00","       1033.05","       1034.95","       1037.70","    7625546","          7913032758.90","     171783","    2579296","         33.82"
