"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LAXMIMACH","EQ","08-May-2017","       4406.25","       4446.25","       4446.45","       4388.20","       4410.00","       4419.95","       4416.42","       2747","            12131905.95","        432","       1626","         59.19"
"LAXMIMACH","EQ","09-May-2017","       4419.95","       4400.05","       4451.00","       4397.10","       4405.15","       4408.65","       4432.09","       3977","            17626436.30","        593","       2762","         69.45"
"LAXMIMACH","EQ","10-May-2017","       4408.65","       4444.25","       4569.00","       4412.35","       4522.00","       4524.40","       4520.10","       6072","            27446039.60","       1305","       3756","         61.86"
"LAXMIMACH","EQ","11-May-2017","       4524.40","       4480.00","       4630.00","       4480.00","       4602.00","       4608.15","       4594.88","       7296","            33524267.35","       1424","       4587","         62.87"
"LAXMIMACH","EQ","12-May-2017","       4608.15","       4608.10","       4636.00","       4535.00","       4570.15","       4552.40","       4579.25","       3909","            17900281.20","        644","       2807","         71.81"
"LAXMIMACH","EQ","15-May-2017","       4552.40","       4619.95","       4670.00","       4550.05","       4606.00","       4614.05","       4629.76","       4275","            19792243.95","       1097","       2447","         57.24"
"LAXMIMACH","EQ","16-May-2017","       4614.05","       4566.05","       4650.00","       4564.10","       4582.00","       4589.80","       4612.18","       4467","            20602592.70","        805","       2961","         66.29"
"LAXMIMACH","EQ","17-May-2017","       4589.80","       4500.00","       4675.20","       4500.00","       4610.00","       4637.25","       4608.88","       6320","            29128119.85","       1035","       2876","         45.51"
"LAXMIMACH","EQ","18-May-2017","       4637.25","       4599.95","       4624.80","       4515.10","       4515.10","       4544.45","       4567.74","       4500","            20554835.90","        831","       2776","         61.69"
"LAXMIMACH","EQ","19-May-2017","       4544.45","       4586.90","       4648.00","       4490.00","       4521.00","       4522.70","       4556.21","       4190","            19090528.50","        990","       1944","         46.40"
"LAXMIMACH","EQ","22-May-2017","       4522.70","       4599.00","       4599.00","       4451.15","       4451.15","       4462.60","       4506.94","       2424","            10924821.75","        513","       1730","         71.37"
"LAXMIMACH","EQ","23-May-2017","       4462.60","       4493.10","       4535.00","       4316.50","       4369.65","       4371.45","       4404.49","       4562","            20093272.80","       1251","       2088","         45.77"
"LAXMIMACH","EQ","24-May-2017","       4371.45","       4388.05","       4444.00","       4351.10","       4355.00","       4360.35","       4409.06","       4432","            19540953.20","        960","       3203","         72.27"
"LAXMIMACH","EQ","25-May-2017","       4360.35","       4336.55","       4416.00","       4336.55","       4402.25","       4405.80","       4390.88","       2897","            12720380.55","        608","       1900","         65.59"
"LAXMIMACH","EQ","26-May-2017","       4405.80","       4377.40","       4588.95","       4377.40","       4500.00","       4499.05","       4502.75","       5362","            24143770.25","       1355","       3328","         62.07"
"LAXMIMACH","EQ","29-May-2017","       4499.05","       4476.85","       4525.15","       4465.00","       4506.00","       4497.10","       4492.95","       2381","            10697707.45","        779","       1361","         57.16"
"LAXMIMACH","EQ","30-May-2017","       4497.10","       4483.90","       4698.00","       4455.00","       4648.00","       4629.65","       4613.15","      18428","            85011082.80","       1690","      15983","         86.73"
"LAXMIMACH","EQ","31-May-2017","       4629.65","       4655.05","       4658.00","       4610.00","       4610.35","       4624.70","       4632.02","       4394","            20353094.00","       1341","       2837","         64.57"
"LAXMIMACH","EQ","01-Jun-2017","       4624.70","       4650.00","       4818.15","       4640.00","       4755.00","       4755.70","       4748.13","      15356","            72912279.70","       2855","       8211","         53.47"
"LAXMIMACH","EQ","02-Jun-2017","       4755.70","       4760.00","       4989.00","       4756.05","       4920.00","       4952.05","       4867.63","      22647","           110237223.20","       3764","      10591","         46.77"
"LAXMIMACH","EQ","05-Jun-2017","       4952.05","       4988.00","       5136.00","       4958.05","       5070.00","       5076.90","       5057.64","      18306","            92585191.30","       2800","       9393","         51.31"
"LAXMIMACH","EQ","06-Jun-2017","       5076.90","       5070.00","       5179.00","       5031.00","       5040.00","       5059.35","       5121.33","      12467","            63847680.80","       2047","       6853","         54.97"
"LAXMIMACH","EQ","07-Jun-2017","       5059.35","       5015.00","       5120.00","       5015.00","       5070.00","       5047.95","       5060.19","       3363","            17017405.75","        912","       1987","         59.08"
"LAXMIMACH","EQ","08-Jun-2017","       5047.95","       5077.95","       5312.00","       5035.00","       5175.85","       5192.55","       5218.37","      20188","           105348442.75","       3871","       7306","         36.19"
"LAXMIMACH","EQ","09-Jun-2017","       5192.55","       5199.95","       5318.30","       5144.95","       5299.90","       5283.70","       5244.05","       9615","            50421514.85","       2437","       5196","         54.04"
"LAXMIMACH","EQ","12-Jun-2017","       5283.70","       5290.00","       5359.00","       5151.00","       5175.05","       5179.90","       5256.65","       7556","            39719233.95","       1363","       3416","         45.21"
"LAXMIMACH","EQ","13-Jun-2017","       5179.90","       5276.00","       5294.95","       5190.00","       5200.00","       5216.00","       5248.28","       5205","            27317282.10","       1224","       2084","         40.04"
"LAXMIMACH","EQ","14-Jun-2017","       5216.00","       5216.00","       5377.70","       5210.00","       5330.00","       5304.90","       5309.34","      13478","            71559286.65","       2659","       4332","         32.14"
"LAXMIMACH","EQ","15-Jun-2017","       5304.90","       5339.00","       5349.95","       5190.10","       5203.00","       5216.20","       5271.00","       4866","            25648694.70","       1119","       3197","         65.70"
"LAXMIMACH","EQ","16-Jun-2017","       5216.20","       5221.30","       5258.00","       5190.10","       5210.25","       5214.90","       5228.04","       3767","            19694019.85","        738","       1995","         52.96"
"LAXMIMACH","EQ","19-Jun-2017","       5214.90","       5214.00","       5257.70","       5125.00","       5149.00","       5154.40","       5156.65","       6728","            34693942.65","        935","       5316","         79.01"
"LAXMIMACH","EQ","20-Jun-2017","       5154.40","       5150.00","       5187.30","       5061.00","       5071.00","       5074.85","       5126.66","       3865","            19814546.00","        758","       3012","         77.93"
"LAXMIMACH","EQ","21-Jun-2017","       5074.85","       5011.00","       5117.85","       5011.00","       5052.00","       5067.40","       5061.71","       4718","            23881153.70","        746","       2972","         62.99"
"LAXMIMACH","EQ","22-Jun-2017","       5067.40","       5129.70","       5163.00","       5030.00","       5050.00","       5048.90","       5091.82","       3643","            18549483.65","        797","       2642","         72.52"
"LAXMIMACH","EQ","23-Jun-2017","       5048.90","       5135.00","       5135.00","       4925.00","       4949.70","       4940.85","       4964.11","       4138","            20541506.90","       1066","       2657","         64.21"
"LAXMIMACH","EQ","27-Jun-2017","       4940.85","       5040.00","       5040.00","       4835.65","       4880.00","       4875.15","       4879.38","       4356","            21254571.50","       1141","       2558","         58.72"
"LAXMIMACH","EQ","28-Jun-2017","       4875.15","       4810.00","       5045.80","       4810.00","       4908.60","       4884.50","       4908.64","       2454","            12045805.25","        887","       1409","         57.42"
"LAXMIMACH","EQ","29-Jun-2017","       4884.50","       4883.60","       4975.00","       4868.05","       4905.00","       4905.65","       4920.31","       2122","            10440891.25","        614","       1423","         67.06"
"LAXMIMACH","EQ","30-Jun-2017","       4905.65","       4940.00","       5139.80","       4864.00","       5105.00","       5055.55","       5022.98","       5268","            26461078.95","       1016","       3779","         71.74"
