"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APOLLOTYRE","EQ","03-Jul-2017","        240.70","        241.00","        255.05","        241.00","        255.05","        254.60","        250.54","    5023488","          1258589731.50","      36090","    1295483","         25.79"
"APOLLOTYRE","EQ","04-Jul-2017","        254.60","        255.70","        256.75","        250.35","        252.35","        251.20","        253.13","    3128081","           791799165.95","      22516","     710819","         22.72"
"APOLLOTYRE","EQ","05-Jul-2017","        251.20","        252.80","        257.90","        251.00","        254.55","        254.55","        255.03","    2260574","           576509339.40","      14398","     363703","         16.09"
"APOLLOTYRE","EQ","06-Jul-2017","        254.55","        256.25","        260.00","        255.00","        255.95","        256.40","        257.54","    2911311","           749779700.55","      32852","    1173300","         40.30"
"APOLLOTYRE","EQ","07-Jul-2017","        256.40","        254.90","        260.00","        252.90","        258.40","        258.75","        257.48","    3812270","           981592822.95","      33089","    1448537","         38.00"
"APOLLOTYRE","EQ","10-Jul-2017","        258.75","        260.00","        260.00","        251.00","        257.00","        257.25","        257.19","     301951","            77659751.75","       2437","     131468","         43.54"
"APOLLOTYRE","EQ","11-Jul-2017","        257.25","        257.40","        259.70","        247.40","        249.30","        249.60","        255.06","    3938837","          1004626996.85","      29226","    1936074","         49.15"
"APOLLOTYRE","EQ","12-Jul-2017","        249.60","        247.70","        254.00","        245.50","        252.00","        252.25","        249.41","    3907251","           974525350.75","      33747","    1509767","         38.64"
"APOLLOTYRE","EQ","13-Jul-2017","        252.25","        251.45","        254.85","        250.00","        251.40","        251.50","        251.88","    2118858","           533692391.10","      18203","     578052","         27.28"
"APOLLOTYRE","EQ","14-Jul-2017","        251.50","        252.50","        252.50","        249.00","        250.80","        251.00","        250.77","    1480370","           371237358.70","      28111","     534644","         36.12"
"APOLLOTYRE","EQ","17-Jul-2017","        251.00","        251.00","        254.75","        246.70","        253.00","        253.35","        250.57","    3015300","           755544684.15","      37213","    1105291","         36.66"
"APOLLOTYRE","EQ","18-Jul-2017","        253.35","        252.85","        256.90","        249.95","        252.15","        252.85","        253.21","    3368756","           852995662.30","      33977","    1148242","         34.09"
"APOLLOTYRE","EQ","19-Jul-2017","        252.85","        253.90","        257.35","        253.15","        256.20","        255.90","        255.10","    3036591","           774642681.50","      25107","     847007","         27.89"
"APOLLOTYRE","EQ","20-Jul-2017","        255.90","        256.00","        257.45","        252.25","        253.90","        253.70","        254.47","    1830875","           465903308.90","      18798","     340655","         18.61"
"APOLLOTYRE","EQ","21-Jul-2017","        253.70","        253.00","        255.70","        250.30","        252.00","        252.40","        252.85","    2795175","           706767245.65","      29463","     886681","         31.72"
"APOLLOTYRE","EQ","24-Jul-2017","        252.40","        254.30","        255.50","        251.05","        253.35","        253.70","        253.12","    1905074","           482210603.70","      29995","     780347","         40.96"
"APOLLOTYRE","EQ","25-Jul-2017","        253.70","        253.80","        265.70","        252.55","        265.40","        264.55","        260.97","    6443067","          1681466546.70","      51622","    1369717","         21.26"
"APOLLOTYRE","EQ","26-Jul-2017","        264.55","        265.80","        268.90","        264.25","        266.05","        266.90","        266.72","    5575016","          1486954904.00","      63472","    2712544","         48.66"
"APOLLOTYRE","EQ","27-Jul-2017","        266.90","        266.20","        267.15","        258.75","        262.80","        261.90","        262.15","    2727039","           714906667.80","      28450","    1076361","         39.47"
"APOLLOTYRE","EQ","28-Jul-2017","        261.90","        261.40","        265.40","        259.45","        263.10","        263.20","        262.08","    2729167","           715252232.05","      41196","     892248","         32.69"
"APOLLOTYRE","EQ","31-Jul-2017","        263.20","        263.65","        269.90","        261.20","        266.00","        266.50","        265.90","    4278814","          1137733183.70","      35971","    1846294","         43.15"
"APOLLOTYRE","EQ","01-Aug-2017","        266.50","        267.70","        268.00","        263.00","        266.00","        266.95","        265.93","    2285358","           607749253.70","      25176","    1160505","         50.78"
"APOLLOTYRE","EQ","02-Aug-2017","        266.95","        266.00","        279.00","        263.75","        276.40","        277.75","        273.37","    8790037","          2402911571.15","      65108","    2382728","         27.11"
"APOLLOTYRE","EQ","03-Aug-2017","        277.75","        278.50","        278.60","        269.30","        270.30","        270.85","        274.23","    5013187","          1374749844.60","      38846","    1304176","         26.01"
"APOLLOTYRE","EQ","04-Aug-2017","        270.85","        261.00","        270.40","        259.10","        263.60","        262.25","        265.08","   10772073","          2855422279.55","      62879","    3997687","         37.11"
"APOLLOTYRE","EQ","07-Aug-2017","        262.25","        255.60","        288.45","        255.60","        285.30","        285.50","        281.12","   18908914","          5315733177.15","     115126","    2269840","         12.00"
"APOLLOTYRE","EQ","08-Aug-2017","        285.50","        285.00","        285.00","        271.75","        280.75","        280.45","        278.07","    8342293","          2319713153.40","      57536","    2179255","         26.12"
"APOLLOTYRE","EQ","09-Aug-2017","        280.45","        276.15","        279.00","        267.50","        270.25","        270.25","        272.42","    6919830","          1885066153.85","      41646","    3102703","         44.84"
"APOLLOTYRE","EQ","10-Aug-2017","        270.25","        269.70","        275.75","        257.45","        264.40","        262.60","        267.98","    4651785","          1246600344.40","      33989","     826041","         17.76"
"APOLLOTYRE","EQ","11-Aug-2017","        262.60","        260.10","        262.50","        252.00","        258.25","        257.05","        257.56","    4783508","          1232053537.85","      42865","    1542198","         32.24"
"APOLLOTYRE","EQ","14-Aug-2017","        257.05","        260.30","        264.75","        258.65","        262.40","        262.90","        261.92","    2552441","           668537424.85","      19917","     690503","         27.05"
"APOLLOTYRE","EQ","16-Aug-2017","        262.90","        265.00","        273.95","        259.50","        272.00","        272.70","        267.20","    4475188","          1195762226.40","      47265","    1293740","         28.91"
"APOLLOTYRE","EQ","17-Aug-2017","        272.70","        272.85","        274.75","        268.35","        268.90","        269.25","        271.38","    3452974","           937077967.05","      44008","    1373724","         39.78"
"APOLLOTYRE","EQ","18-Aug-2017","        269.25","        267.40","        271.80","        265.30","        270.05","        270.15","        269.06","    2175670","           585378664.85","      27653","     435349","         20.01"
"APOLLOTYRE","EQ","21-Aug-2017","        270.15","        270.00","        273.70","        266.85","        267.80","        268.90","        269.95","    2921377","           788628001.35","      38842","    1240004","         42.45"
"APOLLOTYRE","EQ","22-Aug-2017","        268.90","        270.25","        271.70","        255.40","        259.90","        259.65","        259.94","    4894280","          1272241667.85","      78509","    1498057","         30.61"
"APOLLOTYRE","EQ","23-Aug-2017","        259.65","        260.00","        264.95","        256.00","        259.55","        259.80","        259.30","    3009326","           780329754.60","      26844","     493359","         16.39"
"APOLLOTYRE","EQ","24-Aug-2017","        259.80","        261.00","        261.40","        253.60","        256.80","        257.00","        256.33","    3459869","           886866518.15","      39584","    1233063","         35.64"
"APOLLOTYRE","EQ","28-Aug-2017","        257.00","        257.05","        257.65","        251.20","        252.05","        252.60","        253.03","    5360565","          1356377048.05","      67113","    3318236","         61.90"
"APOLLOTYRE","EQ","29-Aug-2017","        252.60","        249.50","        254.65","        246.15","        249.10","        249.15","        249.93","    6524043","          1630558220.30","      50986","    1583002","         24.26"
"APOLLOTYRE","EQ","30-Aug-2017","        249.15","        251.00","        253.30","        247.60","        248.10","        248.35","        249.84","    3302942","           825199985.85","      31638","    1106276","         33.49"
"APOLLOTYRE","EQ","31-Aug-2017","        248.35","        248.35","        254.20","        248.35","        253.80","        253.40","        252.44","    4619190","          1166077649.90","      36760","    1558638","         33.74"
"APOLLOTYRE","EQ","01-Sep-2017","        253.40","        256.00","        257.05","        252.60","        256.40","        256.35","        254.88","    3278369","           835586924.70","      28095","    1007813","         30.74"
"APOLLOTYRE","EQ","04-Sep-2017","        256.35","        257.00","        257.00","        248.25","        250.40","        250.70","        251.68","    4478038","          1127017228.20","      26431","    1027006","         22.93"
"APOLLOTYRE","EQ","05-Sep-2017","        250.70","        250.85","        255.00","        250.70","        253.50","        253.45","        253.40","    2357609","           597417304.00","      23916","     728505","         30.90"
"APOLLOTYRE","EQ","06-Sep-2017","        253.45","        251.10","        257.10","        250.10","        254.50","        254.85","        254.31","    2563552","           651941791.30","      27092","     607163","         23.68"
"APOLLOTYRE","EQ","07-Sep-2017","        254.85","        256.80","        257.60","        252.25","        253.05","        253.20","        254.49","    2377279","           604995068.35","      20885","     953627","         40.11"
"APOLLOTYRE","EQ","08-Sep-2017","        253.20","        253.45","        255.40","        250.30","        253.00","        252.40","        252.94","    1600999","           404958186.70","      13990","     553798","         34.59"
"APOLLOTYRE","EQ","11-Sep-2017","        252.40","        253.80","        257.20","        252.05","        255.85","        256.20","        254.93","    2212611","           564056912.40","      24840","     718210","         32.46"
"APOLLOTYRE","EQ","12-Sep-2017","        256.20","        257.65","        264.50","        256.10","        264.25","        263.35","        261.22","    3002793","           784398813.10","      24909","     820903","         27.34"
"APOLLOTYRE","EQ","13-Sep-2017","        263.35","        266.00","        266.55","        258.20","        259.55","        260.00","        263.15","    4176745","          1099121556.15","      40493","    1486458","         35.59"
"APOLLOTYRE","EQ","14-Sep-2017","        260.00","        260.50","        263.10","        258.45","        260.30","        259.45","        260.57","    1673275","           436003353.25","      36431","     622733","         37.22"
"APOLLOTYRE","EQ","15-Sep-2017","        259.45","        258.30","        260.45","        253.55","        255.05","        255.70","        256.32","    2512542","           644011918.95","      25013","     933264","         37.14"
"APOLLOTYRE","EQ","18-Sep-2017","        255.70","        259.50","        262.95","        255.50","        261.00","        261.55","        258.95","    3148346","           815269600.15","      32096","     970209","         30.82"
"APOLLOTYRE","EQ","19-Sep-2017","        261.55","        261.25","        263.30","        257.50","        258.90","        258.50","        261.02","    1709213","           446135740.75","      16045","     352686","         20.63"
