"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJFINANCE","EQ","17-May-2017","       1347.75","       1350.00","       1374.00","       1297.50","       1320.00","       1324.80","       1343.51","    2408302","          3235569755.55","      67508","     468034","         19.43"
"BAJFINANCE","EQ","18-May-2017","       1324.80","       1299.00","       1343.00","       1296.05","       1310.70","       1314.55","       1325.97","    1210985","          1605727642.65","      34422","     305579","         25.23"
"BAJFINANCE","EQ","19-May-2017","       1314.55","       1324.00","       1333.90","       1265.55","       1288.00","       1289.15","       1295.81","    1167010","          1512225877.70","      32394","     346261","         29.67"
"BAJFINANCE","EQ","22-May-2017","       1289.15","       1299.00","       1304.00","       1237.35","       1240.00","       1242.15","       1264.99","     873873","          1105443652.65","      39772","     391500","         44.80"
"BAJFINANCE","EQ","23-May-2017","       1242.15","       1249.90","       1265.00","       1190.55","       1230.70","       1233.75","       1231.01","    1348383","          1659867589.90","      60446","     466036","         34.56"
"BAJFINANCE","EQ","24-May-2017","       1233.75","       1234.00","       1254.90","       1210.00","       1225.00","       1224.35","       1231.39","     787101","           969230740.90","      42989","     266289","         33.83"
"BAJFINANCE","EQ","25-May-2017","       1224.35","       1230.00","       1268.00","       1228.25","       1263.00","       1258.85","       1250.15","     905807","          1132395407.40","      38094","     349445","         38.58"
"BAJFINANCE","EQ","26-May-2017","       1258.85","       1261.70","       1326.70","       1261.70","       1314.85","       1317.80","       1305.26","    1306793","          1705701981.25","      40302","     456603","         34.94"
"BAJFINANCE","EQ","29-May-2017","       1317.80","       1319.40","       1333.00","       1301.90","       1309.95","       1307.45","       1318.58","     652289","           860093352.45","      24119","     192661","         29.54"
"BAJFINANCE","EQ","30-May-2017","       1307.45","       1305.20","       1324.90","       1303.70","       1322.35","       1321.55","       1317.44","     513005","           675851927.35","      25635","     204921","         39.95"
"BAJFINANCE","EQ","31-May-2017","       1321.55","       1323.00","       1334.90","       1316.10","       1329.40","       1326.95","       1326.64","     726284","           963517605.55","      42248","     356399","         49.07"
"BAJFINANCE","EQ","01-Jun-2017","       1326.95","       1334.00","       1339.00","       1320.25","       1323.80","       1327.35","       1329.35","     387968","           515743856.35","      12771","     156031","         40.22"
"BAJFINANCE","EQ","02-Jun-2017","       1327.35","       1332.40","       1365.00","       1318.00","       1362.00","       1361.25","       1346.17","     668081","           899348743.70","      21491","     198882","         29.77"
"BAJFINANCE","EQ","05-Jun-2017","       1361.25","       1368.55","       1372.65","       1348.05","       1361.75","       1363.10","       1361.85","     570009","           776267840.05","      16609","     161674","         28.36"
"BAJFINANCE","EQ","06-Jun-2017","       1363.10","       1363.40","       1367.90","       1325.00","       1333.65","       1336.65","       1342.10","     601678","           807514827.35","      22461","     242587","         40.32"
"BAJFINANCE","EQ","07-Jun-2017","       1336.65","       1341.10","       1360.00","       1335.10","       1341.30","       1343.15","       1346.68","     550988","           742007098.00","      15482","     219513","         39.84"
"BAJFINANCE","EQ","08-Jun-2017","       1343.15","       1344.90","       1372.00","       1344.70","       1360.00","       1361.70","       1360.76","     570819","           776748073.45","      19214","     220896","         38.70"
"BAJFINANCE","EQ","09-Jun-2017","       1361.70","       1358.00","       1382.00","       1343.70","       1370.00","       1376.85","       1367.45","     530582","           725541900.15","      23351","     178831","         33.70"
"BAJFINANCE","EQ","12-Jun-2017","       1376.85","       1369.95","       1383.00","       1356.55","       1369.00","       1364.95","       1367.40","     370028","           505978055.50","      14815","     103847","         28.06"
"BAJFINANCE","EQ","13-Jun-2017","       1364.95","       1374.00","       1380.00","       1361.00","       1362.00","       1371.50","       1373.62","     435644","           598410870.85","      22238","     190154","         43.65"
"BAJFINANCE","EQ","14-Jun-2017","       1371.50","       1374.20","       1375.00","       1354.00","       1360.00","       1361.00","       1365.29","     634727","           866584207.50","      29134","     339284","         53.45"
"BAJFINANCE","EQ","15-Jun-2017","       1361.00","       1361.10","       1413.00","       1352.20","       1409.30","       1405.25","       1386.17","    1569774","          2175971915.00","      46282","     740293","         47.16"
"BAJFINANCE","EQ","16-Jun-2017","       1405.25","       1415.00","       1424.85","       1403.30","       1406.00","       1410.30","       1415.04","     824516","          1166727044.55","      36654","     332550","         40.33"
"BAJFINANCE","EQ","19-Jun-2017","       1410.30","       1405.20","       1421.70","       1395.60","       1400.10","       1399.85","       1405.58","     426223","           599091881.05","      20625","     170557","         40.02"
"BAJFINANCE","EQ","20-Jun-2017","       1399.85","       1407.70","       1432.90","       1395.05","       1411.50","       1409.60","       1418.20","     781161","          1107841162.40","      38166","     294753","         37.73"
"BAJFINANCE","EQ","21-Jun-2017","       1409.60","       1404.80","       1426.00","       1401.00","       1419.90","       1416.65","       1416.69","     449181","           636348673.30","      23993","     170175","         37.89"
"BAJFINANCE","EQ","22-Jun-2017","       1416.65","       1419.00","       1427.00","       1395.30","       1400.00","       1401.80","       1410.93","     477586","           673842667.65","      31890","     240623","         50.38"
"BAJFINANCE","EQ","23-Jun-2017","       1401.80","       1405.00","       1415.50","       1366.00","       1400.00","       1400.75","       1391.87","     620781","           864045572.65","      27030","     213449","         34.38"
"BAJFINANCE","EQ","27-Jun-2017","       1400.75","       1400.00","       1400.00","       1336.75","       1341.00","       1349.95","       1361.84","    1053829","          1435142568.55","      37982","     522564","         49.59"
"BAJFINANCE","EQ","28-Jun-2017","       1349.95","       1341.00","       1377.00","       1313.90","       1371.00","       1372.35","       1353.90","     998218","          1351490429.30","      30259","     430604","         43.14"
"BAJFINANCE","EQ","29-Jun-2017","       1372.35","       1379.00","       1394.85","       1366.50","       1369.65","       1376.30","       1381.08","     726869","          1003865047.95","      17813","     296476","         40.79"
"BAJFINANCE","EQ","30-Jun-2017","       1376.30","       1367.60","       1380.00","       1352.50","       1373.55","       1373.10","       1364.00","     496260","           676901079.60","      31246","     216431","         43.61"
