"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","02-Jan-2017","       1206.20","       1209.45","       1210.10","       1192.05","       1198.05","       1197.10","       1198.08","     927164","          1110816496.40","      36225","     531525","         57.33"
"HDFCBANK","EQ","03-Jan-2017","       1197.10","       1200.80","       1201.95","       1185.75","       1190.00","       1189.90","       1192.50","     961875","          1147035229.90","      21734","     574034","         59.68"
"HDFCBANK","EQ","04-Jan-2017","       1189.90","       1189.85","       1192.00","       1183.80","       1188.80","       1185.50","       1187.86","    1741780","          2068989959.75","      28925","    1227791","         70.49"
"HDFCBANK","EQ","05-Jan-2017","       1185.50","       1189.00","       1194.50","       1183.10","       1185.00","       1186.20","       1186.93","    1694096","          2010773873.45","      35946","    1138929","         67.23"
"HDFCBANK","IL","05-Jan-2017","       1301.00","       1250.00","       1250.00","       1250.00","-","       1250.00","       1250.00","     325000","           406250000.00","          8","     275000","         84.62"
"HDFCBANK","EQ","06-Jan-2017","       1186.20","       1190.10","       1198.40","       1188.20","       1194.50","       1193.65","       1192.99","    1381315","          1647897004.25","      31658","     878454","         63.60"
"HDFCBANK","IL","06-Jan-2017","       1250.00","       1286.50","       1286.50","       1286.50","-","       1286.50","       1286.50","      50000","            64325000.00","          1","      50000","        100.00"
"HDFCBANK","EQ","09-Jan-2017","       1193.65","       1198.85","       1204.15","       1192.15","       1194.60","       1195.20","       1197.47","    1143449","          1369243562.65","      32660","     609266","         53.28"
"HDFCBANK","EQ","10-Jan-2017","       1195.20","       1196.20","       1216.80","       1195.30","       1215.80","       1214.35","       1208.44","    1386529","          1675530484.05","      26856","     743091","         53.59"
"HDFCBANK","EQ","11-Jan-2017","       1214.35","       1217.50","       1238.10","       1215.50","       1230.60","       1234.00","       1229.29","    2335851","          2871447931.10","      37280","    1457613","         62.40"
"HDFCBANK","EQ","12-Jan-2017","       1234.00","       1235.00","       1243.70","       1225.50","       1235.00","       1235.00","       1232.72","     729079","           898753543.60","      16117","     322314","         44.21"
"HDFCBANK","IL","12-Jan-2017","       1286.50","       1355.00","       1355.00","       1340.00","-","       1340.00","       1340.00","     197172","           264210630.00","          4","     197172","        100.00"
"HDFCBANK","EQ","13-Jan-2017","       1235.00","       1239.00","       1239.70","       1228.60","       1234.85","       1232.50","       1230.97","     962603","          1184938064.90","      26665","     641591","         66.65"
