"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJFINSV","EQ","03-Jul-2017","       4118.70","       4125.00","       4168.60","       4092.95","       4130.00","       4130.70","       4122.36","     108062","           445470178.80","      19366","      56118","         51.93"
"BAJAJFINSV","EQ","04-Jul-2017","       4130.70","       4149.00","       4189.00","       4105.40","       4113.20","       4132.70","       4158.37","      87938","           365678528.15","      13163","      42155","         47.94"
"BAJAJFINSV","EQ","05-Jul-2017","       4132.70","       4135.15","       4174.00","       4118.40","       4170.00","       4149.25","       4144.11","     179431","           743582434.00","      20469","     134105","         74.74"
"BAJAJFINSV","EQ","06-Jul-2017","       4149.25","       4162.00","       4198.95","       4120.20","       4125.00","       4151.50","       4158.96","      98393","           409212082.60","      11536","      64249","         65.30"
"BAJAJFINSV","EQ","07-Jul-2017","       4151.50","       4140.50","       4153.30","       4080.00","       4108.60","       4115.90","       4115.88","      93621","           385332426.15","      12760","      49796","         53.19"
"BAJAJFINSV","EQ","10-Jul-2017","       4115.90","       4116.10","       4145.30","       4090.70","       4090.70","       4103.00","       4111.63","      17464","            71805556.25","       1153","      11132","         63.74"
"BAJAJFINSV","EQ","11-Jul-2017","       4103.00","       4105.10","       4142.20","       4091.15","       4120.00","       4123.20","       4117.16","     103330","           425426507.85","      20519","      62902","         60.87"
"BAJAJFINSV","EQ","12-Jul-2017","       4123.20","       4093.00","       4249.00","       4093.00","       4237.00","       4229.30","       4183.69","     213039","           891289017.85","      23880","     117998","         55.39"
"BAJAJFINSV","EQ","13-Jul-2017","       4229.30","       4273.30","       4373.55","       4240.10","       4365.00","       4364.55","       4331.30","     409545","          1773863291.25","      26637","     228256","         55.73"
"BAJAJFINSV","EQ","14-Jul-2017","       4364.55","       4400.00","       4424.00","       4328.15","       4400.00","       4399.90","       4386.76","     229905","          1008538220.85","      22494","     112910","         49.11"
"BAJAJFINSV","EQ","17-Jul-2017","       4399.90","       4418.90","       4483.35","       4400.00","       4436.10","       4446.30","       4453.93","     169423","           754598545.55","      17831","      84487","         49.87"
"BAJAJFINSV","EQ","18-Jul-2017","       4446.30","       4450.15","       4469.80","       4394.00","       4419.85","       4419.55","       4440.47","     103425","           459255738.65","      11981","      49379","         47.74"
"BAJAJFINSV","EQ","19-Jul-2017","       4419.55","       4430.00","       4595.95","       4428.80","       4579.00","       4564.50","       4528.18","     355676","          1610565471.75","      34089","     141246","         39.71"
"BAJAJFINSV","EQ","20-Jul-2017","       4564.50","       4595.00","       4747.00","       4527.70","       4675.00","       4679.30","       4660.01","     347484","          1619280412.80","      26562","     108225","         31.15"
"BAJAJFINSV","EQ","21-Jul-2017","       4679.30","       4682.80","       4975.00","       4678.90","       4930.00","       4910.40","       4862.10","     516203","          2509830923.05","      46395","     136324","         26.41"
"BAJAJFINSV","EQ","24-Jul-2017","       4910.40","       4950.00","       5044.70","       4905.00","       4949.00","       4949.95","       4971.18","     321007","          1595783122.70","      27668","      81897","         25.51"
"BAJAJFINSV","EQ","25-Jul-2017","       4949.95","       4949.00","       5001.00","       4920.00","       4949.00","       4958.50","       4951.76","     147644","           731097079.45","      17422","      53550","         36.27"
